Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Rhys Norrington-Davies,R. Norrington-Davies,Queens Park Rangers,Full Back,ENG - Championship,87.4,83.3,66.6,49.2
Amari'i Bell,A. Bell,Charlton Athletic,Central Defender,ENG - Championship,77.6,80.2,86.0,33.2
Bradley Dack,B. Dack,Gillingham FC,Midfield,ENG - League Two,2.3,51.0,7.4,17.4
Ben Osborn,B. Osborn,Stockport County FC,Full Back,ENG - League One,45.0,45.0,38.1,81.3
Matty Cash,M. Cash,Aston Villa,Full Back,ENG - Premier League,63.2,34.5,66.9,25.8
Tendayi Darikwa,T. Darikwa,Lincoln City FC,Full Back,ENG - League One,55.4,47.3,66.1,32.1
Emiliano Buendía,E. Buendía,Aston Villa,Wide Attacker,ENG - Premier League,19.5,33.7,62.4,85.2
Todd Cantwell,T. Cantwell,Blackburn Rovers,Midfield,ENG - Championship,21.2,26.5,82.7,72.4
Josh Earl,J. Earl,Barnsley FC,Central Defender,ENG - League One,53.5,24.3,36.7,38.3
Ben Pearson,B. Pearson,Stoke City,Midfield,ENG - Championship,34.6,51.7,9.9,1.8
Jordan Storey,J. Storey,Preston North End,Central Defender,ENG - Championship,47.4,60.9,62.8,75.3
Andrew Hughes,A. Hughes,Preston North End,Central Defender,ENG - Championship,47.0,50.9,86.4,93.8
Ryan Ledson,R. Ledson,Huddersfield Town,Midfield,ENG - League One,17.1,37.2,12.4,3.8
Liam Palmer,L. Palmer,Sheffield Wednesday,Central Defender,ENG - Championship,42.0,32.8,40.9,67.3
Liam Palmer,L. Palmer,Sheffield Wednesday,Full Back,ENG - Championship,23.0,62.9,9.8,17.0
Morgan Fox,M. Fox,Wigan Athletic,Central Defender,ENG - League One,17.9,33.7,9.6,42.9
Jordan Thorniley,J. Thorniley,Northampton Town FC,Central Defender,ENG - League One,46.5,32.4,2.8,42.6
Tom Lees,T. Lees,Peterborough United,Central Defender,ENG - League One,9.3,17.9,16.9,37.1
Adam Reach,A. Reach,Lincoln City FC,Full Back,ENG - League One,75.1,33.3,77.2,84.9
Morgan Rogers,M. Rogers,Aston Villa,Midfield,ENG - Premier League,95.7,62.1,44.8,45.8
Morgan Rogers,M. Rogers,Aston Villa,Wide Attacker,ENG - Premier League,26.0,42.3,22.7,65.7
Ché Adams,C. Adams,Torino,Center Forward,ITA - Serie A,12.2,30.3,48.5,46.5
Dan Scarr,D. Scarr,Wrexham FC,Central Defender,ENG - Championship,7.1,32.7,45.6,23.3
Josh Dacres-Cogley,J. Dacres-Cogley,Bolton Wanderers,Full Back,ENG - League One,74.9,71.5,51.0,74.4
Michael Morrison,M. Morrison,Cambridge United,Central Defender,ENG - League Two,1.2,30.2,10.6,21.0
Charlie Lakin,C. Lakin,Walsall FC,Midfield,ENG - League Two,77.9,70.7,72.9,66.0
Nahki Wells,N. Wells,Luton Town,Center Forward,ENG - League One,54.9,54.2,72.5,73.0
Josh Tymon,J. Tymon,Swansea City,Full Back,ENG - Championship,68.9,58.8,62.3,23.5
Tyrese Campbell,T. Campbell,Sheffield United,Center Forward,ENG - Championship,93.3,95.0,33.4,5.1
Lasse Sørensen,L. Sørensen,Huddersfield Town,Full Back,ENG - League One,8.3,31.4,50.6,92.0
Ryan Woods,R. Woods,Oldham Athletic AFC,Midfield,ENG - League Two,26.0,39.3,24.3,25.2
Ryan Woods,R. Woods,Oldham Athletic AFC,Midfield,ENG - League Two,76.9,31.8,7.0,8.5
Zak Vyner,Z. Vyner,Bristol City,Central Defender,ENG - Championship,73.6,27.8,45.5,75.5
Oluwasemilogo Ibidapo Ajayi,S. Ajayi,Hull City,Central Defender,ENG - Championship,79.7,56.8,62.7,17.9
Ryan Manning,R. Manning,Southampton,Full Back,ENG - Championship,54.8,40.4,31.0,24.0
Michael Smith,M. Smith,Preston North End,Center Forward,ENG - Championship,28.7,23.7,33.4,41.2
Ben Wiles,B. Wiles,Huddersfield Town,Midfield,ENG - League One,98.1,97.3,51.9,24.6
Jake Cooper,J. Cooper,Millwall FC,Central Defender,ENG - Championship,10.7,44.1,27.3,37.5
Murray Wallace,M. Wallace,Huddersfield Town,Central Defender,ENG - League One,10.7,7.1,51.1,77.1
Ryan Leonard,R. Leonard,Millwall FC,Full Back,ENG - Championship,21.1,72.6,35.9,14.5
Jordan Obita,J. Obita,Hibernian,Full Back,SCO - Premiership,30.8,38.1,41.4,77.4
Liam Anthony Kelly,L. Kelly,Milton Keynes Dons,Midfield,ENG - League Two,40.3,29.5,64.4,61.7
Danny Namaso Loader Edi-Mesumbe,D. Namaso,AJ Auxerre,Wide Attacker,FRA - Ligue 1,52.3,29.9,34.9,50.5
Fikayo Tomori,F. Tomori,Milan,Central Defender,ITA - Serie A,90.2,79.1,84.6,46.4
Jack Marriott,J. Marriott,Reading,Center Forward,ENG - League One,68.1,54.8,23.7,50.5
George Evans,G. Evans,Burton Albion,Midfield,ENG - League One,41.3,31.8,15.0,8.0
Jayden Bogle,J. Bogle,Leeds United,Full Back,ENG - Premier League,63.8,25.3,71.1,57.9
Jayden Bogle,J. Bogle,Leeds United,Full Back,ENG - Premier League,38.3,18.3,54.4,84.7
Trevoh Chalobah,T. Chalobah,Chelsea,Central Defender,ENG - Premier League,53.9,70.5,67.3,20.9
Trevoh Chalobah,T. Chalobah,Chelsea,Central Defender,ENG - Premier League,54.8,54.8,53.4,21.4
Ellis Harrison,E. Harrison,Bristol Rovers FC,Center Forward,ENG - League Two,32.5,12.9,6.5,3.1
Edward James (Teddy) Bishop,E. Bishop,Colchester United FC,Midfield,ENG - League Two,8.8,58.6,20.0,26.1
Flynn Downes,F. Downes,Southampton,Midfield,ENG - Championship,92.7,43.9,71.5,84.6
Andre Dozzell,A. Dozzell,Portsmouth,Midfield,ENG - Championship,52.7,70.2,26.2,40.1
Andre Dozzell,A. Dozzell,Portsmouth,Midfield,ENG - Championship,52.2,55.4,14.5,38.9
Kal Naismith,K. Naismith,Luton Town,Central Defender,ENG - League One,18.2,47.7,30.8,32.7
Cédric Kipré,C. Kipré,Ipswich Town,Central Defender,ENG - Championship,72.6,47.0,13.6,28.3
Chey Dunkley,C. Dunkley,Chesterfield FC,Central Defender,ENG - League Two,30.1,26.6,16.5,5.4
Callum Connolly,C. Connolly,Stockport County FC,Central Defender,ENG - League One,14.8,45.3,21.1,69.2
Joe Gelhardt,J. Gelhardt,Hull City,Wide Attacker,ENG - Championship,43.1,16.5,10.9,33.0
Luke Ayling,L. Ayling,Middlesbrough,Central Defender,ENG - Championship,21.8,20.6,71.5,89.1
Sam Dalby,S. Dalby,Bolton Wanderers,Center Forward,ENG - League One,55.0,65.6,42.9,51.3
Jack Clarke,J. Clarke,Ipswich Town,Wide Attacker,ENG - Championship,53.8,48.0,65.4,42.6
Pascal Struijk,P. Struijk,Leeds United,Central Defender,ENG - Premier League,78.7,55.4,78.4,45.4
Jarrod Bowen,J. Bowen,West Ham United,Wide Attacker,ENG - Premier League,62.3,50.0,45.1,17.4
Robbie McKenzie,R. McKenzie,Gillingham FC,Midfield,ENG - League Two,89.8,60.3,31.5,6.7
George Byers,G. Byers,Port Vale FC,Midfield,ENG - League One,0.4,13.0,24.9,34.6
Aaron Lewis,A. Lewis,Mansfield Town FC,Midfield,ENG - League One,6.4,31.6,30.8,22.1
Courtney Baker-Richardson,C. Baker-Richardson,Newport County AFC,Center Forward,ENG - League Two,57.5,47.2,19.0,47.6
Joe Lewis,J. Lewis,AFC Wimbledon,Central Defender,ENG - League One,71.8,53.4,64.6,57.1
Jay Dasilva,J. Dasilva,Coventry City Football Club,Full Back,ENG - Championship,13.1,23.3,39.4,18.8
Lloyd Kelly,L. Kelly,Juventus,Central Defender,ITA - Serie A,93.2,89.5,92.2,81.4
Jordan Hugill,J. Hugill,Rotherham United,Center Forward,ENG - League One,11.9,11.7,15.3,1.8
Ashley Fletcher,A. Fletcher,Blackpool,Center Forward,ENG - League One,30.0,55.8,27.8,45.4
Aden Flint,A. Flint,Walsall FC,Central Defender,ENG - League Two,31.2,42.5,26.4,7.8
Nathan Wood-Gordon,N. Wood,Southampton,Central Defender,ENG - Championship,67.3,41.3,60.1,35.1
Lewis Wing,L. Wing,Reading,Midfield,ENG - League One,39.4,32.3,36.1,70.1
Lewis Wing,L. Wing,Reading,Midfield,ENG - League One,28.9,15.5,45.5,52.6
Diop Tehuti Djed-Hotep Spence,D. Spence,Tottenham Hotspur,Full Back,ENG - Premier League,98.6,96.8,60.1,13.1
Rico Henry,R. Henry,Brentford FC,Full Back,ENG - Premier League,67.4,59.6,60.2,36.1
Ollie Watkins,O. Watkins,Aston Villa,Center Forward,ENG - Premier League,71.3,71.6,44.6,30.6
Ezri Konsa Ngoyo,E. Konsa,Aston Villa,Central Defender,ENG - Premier League,90.7,60.4,25.8,24.2
Reece Cole,R. Cole,Exeter City FC,Midfield,ENG - League One,81.6,66.2,76.6,51.3
James Bree,J. Bree,Charlton Athletic,Full Back,ENG - Championship,42.7,46.8,50.6,50.5
Keinan Davis,K. Davis,Udinese,Center Forward,ITA - Serie A,66.6,90.2,53.1,11.2
Jake Doyle-Hayes,J. Doyle-Hayes,Exeter City FC,Midfield,ENG - League One,21.0,42.7,44.8,36.8
Harry McKirdy,H. McKirdy,Crawley Town FC,Center Forward,ENG - League Two,69.4,59.1,50.3,7.5
Matt Clarke,M. Clarke,Derby County FC,Central Defender,ENG - Championship,23.5,36.5,48.8,32.9
Tom Naylor,T. Naylor,Chesterfield FC,Midfield,ENG - League Two,46.3,44.7,24.0,14.7
Jamal Lowe,J. Lowe,Sheffield Wednesday,Center Forward,ENG - Championship,30.3,15.2,67.6,95.0
Alex Gilbey,A. Gilbey,Milton Keynes Dons,Midfield,ENG - League Two,95.4,86.7,48.8,21.9
Conor McGrandles,C. McGrandles,Lincoln City FC,Midfield,ENG - League One,29.7,45.7,83.3,45.1
Conor McGrandles,C. McGrandles,Lincoln City FC,Midfield,ENG - League One,28.9,44.3,52.5,55.6
Jordan Houghton,J. Houghton,Stevenage FC,Midfield,ENG - League One,42.5,29.7,9.1,0.5
Callum Brittain,C. Brittain,Middlesbrough,Full Back,ENG - Championship,49.8,90.8,48.0,55.7
Callum Brittain,C. Brittain,Middlesbrough,Full Back,ENG - Championship,51.9,81.5,48.1,76.6
Sam Nombe,S. Nombe,Rotherham United,Center Forward,ENG - League One,95.4,84.5,31.3,16.5
Federico Dimarco,F. Dimarco,Inter Milan,Full Back,ITA - Serie A,77.3,67.6,79.8,68.2
Francisco Sierralta Carvallo,F. Sierralta,AJ Auxerre,Central Defender,FRA - Ligue 1,37.0,51.7,38.8,6.6
Alessandro Bastoni,A. Bastoni,Inter Milan,Central Defender,ITA - Serie A,45.5,37.0,65.2,77.4
Lucas Höler,L. Höler,SC Freiburg,Center Forward,GER - Bundesliga,18.9,21.3,62.5,75.5
Lukas Kübler,L. Kübler,SC Freiburg,Full Back,GER - Bundesliga,33.4,16.4,31.6,52.8
Robin Koch,R. Koch,Eintracht Frankfurt,Central Defender,GER - Bundesliga,39.4,47.1,58.9,71.9
Keven Schlotterbeck,K. Schlotterbeck,FC Augsburg,Central Defender,GER - Bundesliga,22.1,34.2,41.5,41.1
Nicolás Iván González,N. González,Atlético Madrid,Wide Attacker,ESP - LaLiga,65.1,46.1,73.9,65.2
Jan-Niklas Beste,J. Beste,SC Freiburg,Wide Attacker,GER - Bundesliga,64.6,28.3,85.3,64.6
Jordan Torunarigha,J. Torunarigha,Hamburger SV,Central Defender,GER - Bundesliga,48.7,25.6,75.5,45.2
Keanan Bennetts,K. Bennetts,Notts County FC,Full Back,ENG - League Two,24.3,65.8,47.0,54.4
Aarón Martín Caricol,Aarón Martín,Genoa,Full Back,ITA - Serie A,2.1,12.8,44.6,58.6
Jean-Philippe Mateta,J. Mateta,Crystal Palace,Center Forward,ENG - Premier League,60.0,45.0,57.0,59.1
Philipp Mwene,P. Mwene,1. FSV Mainz 05,Full Back,GER - Bundesliga,37.8,26.7,36.2,91.0
Jonathan Burkardt,J. Burkardt,Eintracht Frankfurt,Center Forward,GER - Bundesliga,11.6,36.2,71.9,91.5
Ridle Bote Baku,R. Baku,RB Leipzig,Full Back,GER - Bundesliga,67.1,89.2,62.7,79.9
Jonathan Clauss,J. Clauss,OGC Nice,Full Back,FRA - Ligue 1,60.7,58.0,87.3,93.4
David Raum,D. Raum,RB Leipzig,Full Back,GER - Bundesliga,78.8,57.1,57.2,69.9
Vitaly Janelt,V. Janelt,Brentford FC,Midfield,ENG - Premier League,51.7,31.1,43.8,46.7
Julian Ryerson,J. Ryerson,Borussia Dortmund,Full Back,GER - Bundesliga,16.4,27.4,67.7,92.7
Christopher Trimmel,C. Trimmel,FC Union Berlin,Full Back,GER - Bundesliga,50.8,15.1,48.7,21.3
Yann Aurel Bisseck,Y. Bisseck,Inter Milan,Central Defender,ITA - Serie A,67.0,66.1,42.3,85.1
Jonas Föhrenbach,J. Föhrenbach,1. FC Heidenheim 1846,Full Back,GER - Bundesliga,36.7,45.2,60.8,66.6
Josha Mamadou Karaboue Vagnoman,J. Vagnoman,VfB Stuttgart,Full Back,GER - Bundesliga,85.6,43.7,44.8,95.0
Benedikt Gimber,B. Gimber,1. FC Heidenheim 1846,Central Defender,GER - Bundesliga,16.9,13.0,65.9,65.0
Phil Neumann,P. Neumann,Birmingham City,Central Defender,ENG - Championship,77.8,66.8,52.5,49.1
Philipp Sander,P. Sander,Borussia Mönchengladbach,Central Defender,GER - Bundesliga,19.3,23.0,78.1,85.3
Atakan Karazor,A. Karazor,VfB Stuttgart,Midfield,GER - Bundesliga,11.0,29.4,54.6,79.8
Hauke Wahl,H. Wahl,FC St. Pauli,Central Defender,GER - Bundesliga,21.3,36.5,79.0,95.1
Patrick Mainka,P. Mainka,1. FC Heidenheim 1846,Central Defender,GER - Bundesliga,11.6,16.4,51.8,78.2
Robert Andrich,R. Andrich,Bayer 04 Leverkusen,Central Defender,GER - Bundesliga,7.5,21.0,35.6,85.8
Ante Budimir,A. Budimir,CA Osasuna,Center Forward,ESP - LaLiga,29.5,37.7,70.4,21.9
Stefano Moreo,S. Moreo,Pisa Sporting Club,Center Forward,ITA - Serie A,20.8,26.5,57.3,88.9
Antonino Gallo,A. Gallo,Lecce,Full Back,ITA - Serie A,90.6,61.5,76.0,23.3
Antonio Caracciolo,A. Caracciolo,Pisa Sporting Club,Central Defender,ITA - Serie A,76.9,41.6,62.8,12.7
Santiago Colombatto,S. Colombatto,Real Oviedo,Midfield,ESP - LaLiga,2.4,29.1,24.5,72.4
Mattia Zaccagni,M. Zaccagni,Lazio,Wide Attacker,ITA - Serie A,56.2,48.8,74.6,13.8
Sandro Tonali,S. Tonali,Newcastle United,Midfield,ENG - Premier League,96.3,71.8,66.2,71.0
Luca Ranieri,L. Ranieri,Fiorentina,Central Defender,ITA - Serie A,63.8,62.6,74.4,75.5
Federico Bonazzoli,F. Bonazzoli,US Cremonese,Center Forward,ITA - Serie A,3.1,20.6,55.1,76.9
Alessandro Buongiorno,A. Buongiorno,Napoli,Central Defender,ITA - Serie A,24.6,44.8,76.9,73.2
Sebastian Walukiewicz,S. Walukiewicz,Sassuolo,Full Back,ITA - Serie A,33.5,73.9,60.5,33.5
Khéphren Thuram-Ulien,K. Thuram,Juventus,Midfield,ITA - Serie A,77.2,78.4,43.9,52.0
Bafodé Diakité,B. Diakité,Bournemouth,Central Defender,ENG - Premier League,77.4,76.8,23.1,26.3
Jordi Osei-Tutu,J. Osei-Tutu,Bolton Wanderers,Full Back,ENG - League One,73.5,85.7,47.4,46.9
Bukayo Saka,B. Saka,Arsenal Football Club,Wide Attacker,ENG - Premier League,25.7,41.0,21.3,37.9
Bukayo Saka,B. Saka,Arsenal Football Club,Wide Attacker,ENG - Premier League,32.5,35.9,26.1,43.1
Imran Louza,I. Louza,Watford,Midfield,ENG - Championship,8.9,38.3,55.1,61.9
Robin Aime Robert Robin Le Normand,Robin Le Normand,Atlético Madrid,Central Defender,ESP - LaLiga,46.2,69.8,33.9,29.3
James Garner,J. Garner,Everton,Midfield,ENG - Premier League,75.8,74.9,52.2,49.4
Mason Greenwood,M. Greenwood,Olympique de Marseille,Wide Attacker,FRA - Ligue 1,8.8,39.7,26.7,7.0
Felix Kalu Nmecha,F. Nmecha,Borussia Dortmund,Midfield,GER - Bundesliga,97.4,95.1,93.6,73.6
Max Kilman,M. Kilman,West Ham United,Central Defender,ENG - Premier League,60.2,37.4,7.7,4.3
Kayne Ramsay,K. Ramsay,Charlton Athletic,Central Defender,ENG - Championship,97.3,81.2,43.3,11.8
Bryan Gil Salvatierra,Bryan Gil,Girona FC,Wide Attacker,ESP - LaLiga,30.1,52.7,93.5,88.1
Max Sanders,M. Sanders,Crewe Alexandra FC,Midfield,ENG - League Two,46.1,31.1,23.2,40.1
Max Sanders,M. Sanders,Crewe Alexandra FC,Midfield,ENG - League Two,17.8,25.5,50.1,47.4
Iván Martín Núñez,Iván Martín,Girona FC,Midfield,ESP - LaLiga,69.2,28.4,85.9,79.2
Karlan Ahearne-Grant,K. Grant,West Bromwich Albion,Wide Attacker,ENG - Championship,86.7,52.5,63.9,81.9
Florentino Ibrain Morris Luís,Florentino,Burnley,Midfield,ENG - Premier League,7.3,25.8,86.5,98.0
Thierry Rendall Correia,Thierry Correia,Valencia CF,Full Back,ESP - LaLiga,85.3,87.0,45.4,19.9
Cameron Humphreys,C. Humphreys,Port Vale FC,Central Defender,ENG - League One,47.7,94.5,50.3,42.3
Sebastiano Esposito,S. Esposito,Cagliari,Center Forward,ITA - Serie A,4.7,19.3,87.2,97.5
Lyle Foster,L. Foster,Burnley,Center Forward,ENG - Premier League,94.7,58.2,59.9,62.4
Lucas Tolentino Coelho de Lima,Lucas Paquetà,West Ham United,Midfield,ENG - Premier League,84.2,55.0,42.3,14.6
Andrei Rațiu,A. Rațiu,Rayo Vallecano,Full Back,ESP - LaLiga,98.3,89.9,47.6,29.9
Anthony Driscoll-Glennon,A. Driscoll-Glennon,Newport County AFC,Full Back,ENG - League Two,24.0,21.4,13.2,56.4
Kouadio Manu Koné,M. Koné,Roma,Midfield,ITA - Serie A,29.2,69.6,59.5,38.5
Przemysław Płacheta,P. Płacheta,Oxford United,Wide Attacker,ENG - Championship,75.8,72.7,66.5,83.7
Rafael Mir Vicente,Rafa Mir,Elche CF,Center Forward,ESP - LaLiga,60.7,33.7,33.7,41.5
Christoph Baumgartner,C. Baumgartner,RB Leipzig,Midfield,GER - Bundesliga,40.5,18.6,51.9,83.5
Hicham Boudaoui,H. Boudaoui,OGC Nice,Midfield,FRA - Ligue 1,76.1,57.7,70.2,69.3
Lucas da Cunha,L. da Cunha,Como 1907,Midfield,ITA - Serie A,92.4,63.4,40.6,32.3
Harvey White,H. White,Stevenage FC,Midfield,ENG - League One,30.0,49.3,37.3,22.1
Raoul Bellanova,R. Bellanova,Atalanta,Full Back,ITA - Serie A,99.8,95.2,27.5,62.1
Joris Jean-Claude Jacques Chotard,J. Chotard,Stade Brestois 29,Midfield,FRA - Ligue 1,21.4,36.7,57.4,39.0
Lilian Brassier,L. Brassier,Stade Rennais FC,Central Defender,FRA - Ligue 1,73.7,89.4,81.0,93.3
Jack Stacey,J. Stacey,Norwich City,Full Back,ENG - Championship,73.2,24.3,66.5,88.7
Dan Nlundulu,D. Nlundulu,St. Mirren,Center Forward,SCO - Premiership,12.6,57.7,49.8,23.6
Stephy Alvaro Mavididi,S. Mavididi,Leicester City,Wide Attacker,ENG - Championship,38.5,79.3,57.8,44.5
Pau Francisco Torres,Pau Torres,Aston Villa,Central Defender,ENG - Premier League,42.0,24.8,23.6,47.1
Antonio José Raíllo Arenas,Antonio Raíllo,RCD Mallorca,Central Defender,ESP - LaLiga,22.2,26.9,40.6,9.8
Aleix Febas Pérez,Aleix Febas,Elche CF,Midfield,ESP - LaLiga,97.1,81.9,19.0,16.2
Takefusa Kubo,T. Kubo,Real Sociedad,Wide Attacker,ESP - LaLiga,54.7,68.5,73.3,20.7
Nico Schlotterbeck,N. Schlotterbeck,Borussia Dortmund,Central Defender,GER - Bundesliga,88.6,43.7,82.8,93.7
Domingos Sousa Coutinho Meneses Duarte,Domingos Duarte,Getafe CF,Central Defender,ESP - LaLiga,54.8,33.9,56.6,10.9
Domingos Sousa Coutinho Meneses Duarte,Domingos Duarte,Getafe CF,Central Defender,ESP - LaLiga,23.8,39.6,51.9,29.2
Ignacio Vidal Miralles,Nacho Vidal,Real Oviedo,Full Back,ESP - LaLiga,18.8,41.3,54.2,56.0
Marc Guéhi,M. Guéhi,Crystal Palace,Central Defender,ENG - Premier League,68.5,97.4,75.2,70.8
Edmond Fayçal Tapsoba,E. Tapsoba,Bayer 04 Leverkusen,Central Defender,GER - Bundesliga,73.4,14.2,46.3,40.1
Omar Federico Alderete Fernández,O. Alderete,Sunderland,Central Defender,ENG - Premier League,70.6,57.6,41.0,40.7
Marcos Senesi,M. Senesi,Bournemouth,Central Defender,ENG - Premier League,70.4,73.4,73.3,28.2
Luis Fernando Díaz Marulanda,L. Díaz,FC Bayern Munchen,Wide Attacker,GER - Bundesliga,80.8,73.2,56.0,41.4
Strahinja Pavlović,S. Pavlović,Milan,Central Defender,ITA - Serie A,95.8,89.9,84.7,58.8
Yukinari Sugawara,Y. Sugawara,SV Werder Bremen,Full Back,GER - Bundesliga,18.2,47.4,31.5,75.2
Ilia Gruev,I. Gruev,Leeds United,Midfield,ENG - Premier League,45.7,41.1,49.2,64.7
Matteo Gabbia,M. Gabbia,Milan,Central Defender,ITA - Serie A,11.1,26.1,53.1,26.2
Luis Jesús Rioja González,Luis Rioja,Valencia CF,Wide Attacker,ESP - LaLiga,81.5,68.9,51.1,47.3
Oihan Sancet Tirapu,Oihan Sancet,Athletic Club de Bilbao,Midfield,ESP - LaLiga,34.0,52.3,51.3,28.2
Ander Barrenetxea Muguruza,Ander Barrenetxea,Real Sociedad,Wide Attacker,ESP - LaLiga,27.6,75.5,64.9,34.1
Kieffer Moore,K. Moore,Wrexham FC,Center Forward,ENG - Championship,47.9,58.7,68.5,48.5
Rassoul Ndiaye,R. Ndiaye,Le Havre AC,Midfield,FRA - Ligue 1,11.2,34.3,68.5,81.2
Jorge De Frutos Sebastián,Jorge de Frutos,Rayo Vallecano,Center Forward,ESP - LaLiga,76.5,50.6,53.2,44.9
Jorge De Frutos Sebastián,Jorge de Frutos,Rayo Vallecano,Wide Attacker,ESP - LaLiga,71.4,49.3,53.7,43.6
Riccardo Calafiori,R. Calafiori,Arsenal Football Club,Full Back,ENG - Premier League,5.4,19.3,90.5,90.7
Taylor Perry,T. Perry,Shrewsbury Town,Midfield,ENG - League Two,59.3,53.3,75.7,6.3
Darlin Zidane Yongwa Ngameni,D. Yongwa,FC Lorient,Central Defender,FRA - Ligue 1,64.8,46.0,78.4,83.1
Nick Woltemade,N. Woltemade,Newcastle United,Center Forward,ENG - Premier League,13.3,20.1,16.0,32.7
Sergio Carreira Vilariño,Sergio Carreira,RC Celta de Vigo,Full Back,ESP - LaLiga,18.2,63.8,78.5,76.4
Roberto Piccoli,R. Piccoli,Fiorentina,Center Forward,ITA - Serie A,69.9,49.8,46.0,22.4
Amad Diallo Traoré,A. Diallo,Manchester United,Full Back,ENG - Premier League,74.1,69.0,57.9,63.2
Thomas Glyn Doyle,T. Doyle,Birmingham City,Midfield,ENG - Championship,35.7,38.5,13.1,50.6
Anthony Gordon,A. Gordon,Newcastle United,Wide Attacker,ENG - Premier League,95.6,93.4,71.5,41.4
Manuel Sánchez De La Peña,Manu Sánchez,Levante UD,Full Back,ESP - LaLiga,41.4,46.7,95.6,77.2
Vivaldo Borges dos Santos Neto,Neto Borges,Bristol City,Full Back,ENG - Championship,35.3,18.7,57.3,84.1
Jurriën Timber Maduro,J. Timber,Arsenal Football Club,Full Back,ENG - Premier League,57.4,53.1,35.9,13.4
Teden Mengi,T. Mengi,Luton Town,Central Defender,ENG - League One,86.9,36.5,12.7,12.8
Teden Mengi,T. Mengi,Luton Town,Central Defender,ENG - League One,86.9,61.7,8.9,14.3
Ethan Galbraith,E. Galbraith,Swansea City,Full Back,ENG - Championship,32.2,60.5,53.8,69.3
Scott Robertson,S. Robertson,Notts County FC,Midfield,ENG - League Two,43.4,72.7,39.2,12.8
Issa Soumaré,I. Soumaré,Le Havre AC,Center Forward,FRA - Ligue 1,80.4,62.6,68.1,36.5
Gavin Kilkenny,G. Kilkenny,Swindon Town,Midfield,ENG - League Two,58.2,77.0,87.5,35.5
Georges Mikautadze,G. Mikautadze,Villarreal CF,Center Forward,ESP - LaLiga,64.9,77.1,68.4,69.5
Ben Cabango,B. Cabango,Swansea City,Central Defender,ENG - Championship,67.3,59.5,69.9,63.9
Billy Mitchell,B. Mitchell,Millwall FC,Midfield,ENG - Championship,30.0,51.0,57.3,50.8
Marc Bola,M. Bola,Watford,Full Back,ENG - Championship,74.7,58.1,11.3,8.8
Hayden Coulson,H. Coulson,Blackpool,Full Back,ENG - League One,39.3,28.0,7.6,5.9
Callum Elder,C. Elder,Derby County FC,Full Back,ENG - Championship,36.2,33.3,62.3,41.3
Tom Eaves,T. Eaves,Northampton Town FC,Center Forward,ENG - League One,60.9,49.1,12.6,25.5
Ryan Tafazolli,R. Tafazolli,Swindon Town,Central Defender,ENG - League Two,0.5,33.2,13.0,10.8
George Honeyman,G. Honeyman,Blackpool,Midfield,ENG - League One,59.5,88.2,87.2,76.0
Matty Pearson,M. Pearson,Doncaster Rovers FC,Central Defender,ENG - League One,28.6,30.0,41.2,59.2
Sonny Bradley,S. Bradley,Lincoln City FC,Central Defender,ENG - League One,20.6,44.8,50.6,57.5
Lloyd Jones,L. Jones,Charlton Athletic,Central Defender,ENG - Championship,34.3,36.9,47.9,23.2
Lloyd Jones,L. Jones,Charlton Athletic,Central Defender,ENG - Championship,0.5,34.9,23.3,37.2
Ben Purrington,B. Purrington,Cambridge United,Full Back,ENG - League Two,21.2,39.3,21.7,41.5
Abdulyussuf Adedeji Adeniyi Oshilaja,A. Oshilaja,Mansfield Town FC,Central Defender,ENG - League One,3.7,33.1,33.0,34.0
Albie Morgan,A. Morgan,Blackpool,Midfield,ENG - League One,87.4,40.3,65.0,44.4
Dominic Thompson,D. Thompson,Kilmarnock,Full Back,SCO - Premiership,42.9,70.1,54.1,43.2
Antoine Semenyo,A. Semenyo,Bournemouth,Wide Attacker,ENG - Premier League,83.9,75.9,43.3,12.2
Joe Rafferty,J. Rafferty,Rotherham United,Central Defender,ENG - League One,32.0,54.5,37.5,52.1
Alex Mowatt,A. Mowatt,West Bromwich Albion,Midfield,ENG - Championship,2.9,31.3,50.3,83.9
Alex Mowatt,A. Mowatt,West Bromwich Albion,Midfield,ENG - Championship,3.6,25.9,47.5,83.5
Toby Sibbick,T. Sibbick,Burton Albion,Central Defender,ENG - League One,98.1,72.5,43.4,68.1
Mads Juel Andersen,M. Andersen,Luton Town,Central Defender,ENG - League One,16.9,19.1,45.2,40.3
Conor Chaplin,C. Chaplin,Portsmouth,Midfield,ENG - Championship,44.0,50.2,45.1,51.3
Jude Bellingham,J. Bellingham,Real Madrid CF,Midfield,ESP - LaLiga,76.2,85.3,84.8,24.2
Taylor Harwood-Bellis,T. Harwood-Bellis,Southampton,Central Defender,ENG - Championship,57.7,58.0,39.0,57.7
Karamoko Kader Dembélé,K. Dembélé,Queens Park Rangers,Wide Attacker,ENG - Championship,18.6,63.3,29.7,10.0
Loïc Badé,L. Badé,Bayer 04 Leverkusen,Central Defender,GER - Bundesliga,63.5,50.5,71.5,79.5
Neco Williams,N. Williams,Nottingham Forest,Full Back,ENG - Premier League,48.3,55.0,52.2,29.7
Tyrick Mitchell,T. Mitchell,Crystal Palace,Full Back,ENG - Premier League,78.2,76.9,84.8,78.3
